[0,0,0,0,0,0,0]=> size : 18190, iter: 0
[1,0,0,0,0,0,0]=> size : 12345, iter: 1
[2,0,0,0,0,0,0]=> size : 8345, iter: 1
[3,0,0,0,0,0,0]=> size : 6364, iter: 1
[4,0,0,0,0,0,0]=> size : 4965, iter: 1
[5,0,0,0,0,0,0]=> size : 4016, iter: 1
[6,0,0,0,0,0,0]=> size : 3201, iter: 1
[7,0,0,0,0,0,0]=> size : 2620, iter: 1
[8,0,0,0,0,0,0]=> size : 2192, iter: 1
[9,0,0,0,0,0,0]=> size : 1787, iter: 1
[10,0,0,0,0,0,0]=> size : 1418, iter: 1
[11,0,0,0,0,0,0]=> size : 1157, iter: 1
[12,0,0,0,0,0,0]=> size : 878, iter: 1
[13,0,0,0,0,0,0]=> size : 629, iter: 1
[13,1,0,0,0,0,0]=> size : 517, iter: 3
[13,2,0,0,0,0,0]=> size : 476, iter: 2
[13,3,0,0,0,0,0]=> size : 393, iter: 4
[12,1,0,0,0,0,0]=> size : 780, iter: 2
[12,2,0,0,0,0,0]=> size : 691, iter: 2
[12,3,0,0,0,0,0]=> size : 632, iter: 2
[12,4,0,0,0,0,0]=> size : 550, iter: 2
[12,5,0,0,0,0,0]=> size : 474, iter: 2
[12,6,0,0,0,0,0]=> size : 372, iter: 5
[12,7,0,0,0,0,0]=> size : 347, iter: 2
[12,8,0,0,0,0,0]=> size : 287, iter: 3
[12,9,0,0,0,0,0]=> size : 258, iter: 2
[12,10,0,0,0,0,0]=> size : 199, iter: 2
[11,1,0,0,0,0,0]=> size : 1041, iter: 2
[11,2,0,0,0,0,0]=> size : 947, iter: 3
[11,3,0,0,0,0,0]=> size : 881, iter: 2
[11,4,0,0,0,0,0]=> size : 819, iter: 2
[11,5,0,0,0,0,0]=> size : 667, iter: 4
[11,6,0,0,0,0,0]=> size : 604, iter: 2
[11,7,0,0,0,0,0]=> size : 548, iter: 2
[11,8,0,0,0,0,0]=> size : 478, iter: 2
[11,9,0,0,0,0,0]=> size : 443, iter: 2
[11,10,0,0,0,0,0]=> size : 316, iter: 5
[11,11,0,0,0,0,0]=> size : 290, iter: 2
[11,12,0,0,0,0,0]=> size : 227, iter: 2
[11,8,0,0,1,0,0]=> size : 185, iter: 2
[11,7,0,0,1,0,0]=> size : 185, iter: 2
[11,6,0,0,1,0,0]=> size : 186, iter: 2
[11,5,0,0,1,0,0]=> size : 186, iter: 2
[11,4,0,0,1,0,0]=> size : 188, iter: 3
[11,3,0,0,1,0,0]=> size : 189, iter: 3
[11,2,0,0,1,0,0]=> size : 189, iter: 3
[11,1,0,0,1,0,0]=> size : 194, iter: 4
[11,0,0,0,1,0,0]=> size : 194, iter: 4
[10,1,0,0,0,0,0]=> size : 1294, iter: 3
[10,2,0,0,0,0,0]=> size : 1189, iter: 2
[10,3,0,0,0,0,0]=> size : 1061, iter: 2
[10,4,0,0,0,0,0]=> size : 996, iter: 2
[10,5,0,0,0,0,0]=> size : 901, iter: 2
[10,6,0,0,0,0,0]=> size : 799, iter: 2
[10,7,0,0,0,0,0]=> size : 724, iter: 2
[10,8,0,0,0,0,0]=> size : 648, iter: 4
[10,9,0,0,0,0,0]=> size : 591, iter: 2
[10,10,0,0,0,0,0]=> size : 511, iter: 2
[10,11,0,0,0,0,0]=> size : 478, iter: 2
[10,12,0,0,0,0,0]=> size : 432, iter: 2
[10,13,0,0,0,0,0]=> size : 281, iter: 2
[10,14,0,0,0,0,0]=> size : 229, iter: 5
[10,11,0,0,1,0,0]=> size : 141, iter: 2
[10,10,0,0,1,0,0]=> size : 205, iter: 2
[10,9,0,0,1,0,0]=> size : 216, iter: 2
[10,8,0,0,1,0,0]=> size : 229, iter: 2
[10,7,0,0,1,0,0]=> size : 252, iter: 2
[10,6,0,0,1,0,0]=> size : 257, iter: 2
[10,5,0,0,1,0,0]=> size : 272, iter: 2
[10,4,0,0,1,0,0]=> size : 281, iter: 2
[10,3,0,0,1,0,0]=> size : 290, iter: 2
[10,2,0,0,1,0,0]=> size : 304, iter: 2
[10,1,0,0,1,0,0]=> size : 304, iter: 2
[10,0,0,0,1,0,0]=> size : 304, iter: 2
[9,1,0,0,0,0,0]=> size : 1631, iter: 2
[9,2,0,0,0,0,0]=> size : 1481, iter: 2
[9,3,0,0,0,0,0]=> size : 1344, iter: 3
[9,4,0,0,0,0,0]=> size : 1200, iter: 2
[9,5,0,0,0,0,0]=> size : 1090, iter: 3
[9,6,0,0,0,0,0]=> size : 990, iter: 2
[9,7,0,0,0,0,0]=> size : 894, iter: 2
[9,8,0,0,0,0,0]=> size : 830, iter: 2
[9,9,0,0,0,0,0]=> size : 747, iter: 2
[9,10,0,0,0,0,0]=> size : 669, iter: 2
[9,11,0,0,0,0,0]=> size : 589, iter: 2
[9,12,0,0,0,0,0]=> size : 505, iter: 2
[9,13,0,0,0,0,0]=> size : 466, iter: 2
[9,14,0,0,0,0,0]=> size : 402, iter: 2
[9,15,0,0,0,0,0]=> size : 331, iter: 2
[9,13,0,0,1,0,0]=> size : 96, iter: 2
[9,12,0,0,1,0,0]=> size : 218, iter: 4
[9,11,0,0,1,0,0]=> size : 239, iter: 3
[9,10,0,0,1,0,0]=> size : 256, iter: 3
[9,9,0,0,1,0,0]=> size : 277, iter: 2
[9,8,0,0,1,0,0]=> size : 307, iter: 2
[9,8,0,0,2,0,0]=> size : 80, iter: 2
[9,7,0,0,1,0,0]=> size : 367, iter: 2
[9,7,0,0,2,0,0]=> size : 80, iter: 2
[9,6,0,1,0,0,0]=> size : 108, iter: 2
[9,6,0,0,1,0,0]=> size : 387, iter: 2
[9,6,0,0,2,0,0]=> size : 81, iter: 2
[9,5,0,1,0,0,0]=> size : 113, iter: 2
[9,5,0,0,1,0,0]=> size : 409, iter: 2
[9,5,0,0,2,0,0]=> size : 81, iter: 2
[9,4,0,1,0,0,0]=> size : 129, iter: 2
[9,4,0,0,1,0,0]=> size : 424, iter: 2
[9,4,0,0,2,0,0]=> size : 82, iter: 2
[9,3,0,1,0,0,0]=> size : 130, iter: 2
[9,3,0,0,1,0,0]=> size : 446, iter: 2
[9,3,0,0,2,0,0]=> size : 82, iter: 2
[9,2,0,1,0,0,0]=> size : 138, iter: 2
[9,2,0,0,1,0,0]=> size : 461, iter: 2
[9,2,0,0,2,0,0]=> size : 82, iter: 2
[9,1,0,1,0,0,0]=> size : 145, iter: 2
[9,1,0,0,1,0,0]=> size : 463, iter: 2
[9,1,0,0,2,0,0]=> size : 82, iter: 2
[9,0,0,1,0,0,0]=> size : 145, iter: 2
[9,0,0,0,1,0,0]=> size : 463, iter: 2
[9,0,0,0,2,0,0]=> size : 82, iter: 2
[8,1,0,0,0,0,0]=> size : 2032, iter: 2
[8,2,0,0,0,0,0]=> size : 1818, iter: 3
[8,3,0,0,0,0,0]=> size : 1668, iter: 2
[8,4,0,0,0,0,0]=> size : 1503, iter: 2
[8,5,0,0,0,0,0]=> size : 1385, iter: 2
[8,6,0,0,0,0,0]=> size : 1237, iter: 5
[8,7,0,0,0,0,0]=> size : 1130, iter: 2
[8,8,0,0,0,0,0]=> size : 983, iter: 2
[8,9,0,0,0,0,0]=> size : 908, iter: 2
[8,10,0,0,0,0,0]=> size : 808, iter: 3
[8,11,0,0,0,0,0]=> size : 729, iter: 2
[8,12,0,0,0,0,0]=> size : 643, iter: 2
[8,13,0,0,0,0,0]=> size : 598, iter: 2
[8,14,0,0,0,0,0]=> size : 486, iter: 2
[8,15,0,0,0,0,0]=> size : 425, iter: 2
[8,16,0,0,0,0,0]=> size : 309, iter: 2
[8,13,0,0,1,0,0]=> size : 230, iter: 2
[8,12,0,0,1,0,0]=> size : 302, iter: 2
[8,11,0,0,1,0,0]=> size : 311, iter: 2
[8,10,0,0,1,0,0]=> size : 371, iter: 3
[8,10,0,0,2,0,0]=> size : 56, iter: 2
[8,9,0,1,0,0,0]=> size : 69, iter: 3
[8,9,0,0,1,0,0]=> size : 413, iter: 2
[8,9,0,0,2,0,0]=> size : 97, iter: 2
[8,8,0,1,0,0,0]=> size : 121, iter: 4
[8,8,0,0,1,0,0]=> size : 450, iter: 2
[8,8,0,0,2,0,0]=> size : 103, iter: 2
[8,7,0,1,0,0,0]=> size : 152, iter: 3
[8,7,0,0,1,0,0]=> size : 491, iter: 2
[8,7,0,0,2,0,0]=> size : 106, iter: 2
[8,7,0,0,0,1,0]=> size : 50, iter: 2
[8,6,0,1,0,0,0]=> size : 153, iter: 3
[8,6,0,0,1,0,0]=> size : 526, iter: 2
[8,6,0,0,2,0,0]=> size : 128, iter: 2
[8,6,0,0,0,1,0]=> size : 50, iter: 2
[8,5,0,1,0,0,0]=> size : 191, iter: 3
[8,5,0,0,1,0,0]=> size : 570, iter: 2
[8,5,0,0,2,0,0]=> size : 128, iter: 2
[8,5,0,0,0,1,0]=> size : 57, iter: 2
[8,4,0,1,0,0,0]=> size : 274, iter: 2
[8,4,0,0,1,0,0]=> size : 582, iter: 2
[8,4,0,0,2,0,0]=> size : 135, iter: 2
[8,4,0,0,0,1,0]=> size : 58, iter: 2
[8,3,0,1,0,0,0]=> size : 299, iter: 2
[8,3,0,0,1,0,0]=> size : 588, iter: 2
[8,3,0,0,2,0,0]=> size : 135, iter: 2
[8,3,0,0,0,1,0]=> size : 59, iter: 2
[8,2,0,1,0,0,0]=> size : 313, iter: 2
[8,2,0,0,1,0,0]=> size : 610, iter: 2
[8,2,0,0,2,0,0]=> size : 135, iter: 2
[8,2,0,0,0,1,0]=> size : 59, iter: 2
[8,1,0,1,0,0,0]=> size : 316, iter: 2
[8,1,0,0,1,0,0]=> size : 625, iter: 4
[8,1,0,0,2,0,0]=> size : 135, iter: 2
[8,1,0,0,0,1,0]=> size : 59, iter: 2
[8,0,0,1,0,0,0]=> size : 316, iter: 2
[8,0,0,0,1,0,0]=> size : 625, iter: 4
[8,0,0,0,2,0,0]=> size : 135, iter: 2
[8,0,0,0,0,1,0]=> size : 59, iter: 2
[7,1,0,0,0,0,0]=> size : 2436, iter: 2
[7,2,0,0,0,0,0]=> size : 2226, iter: 3
[7,3,0,0,0,0,0]=> size : 2013, iter: 2
[7,4,0,0,0,0,0]=> size : 1832, iter: 2
[7,5,0,0,0,0,0]=> size : 1662, iter: 2
[7,6,0,0,0,0,0]=> size : 1549, iter: 2
[7,7,0,0,0,0,0]=> size : 1403, iter: 2
[7,8,0,0,0,0,0]=> size : 1248, iter: 2
[7,9,0,0,0,0,0]=> size : 1139, iter: 2
[7,10,0,0,0,0,0]=> size : 1044, iter: 2
[7,11,0,0,0,0,0]=> size : 925, iter: 2
[7,12,0,0,0,0,0]=> size : 814, iter: 3
[7,13,0,0,0,0,0]=> size : 725, iter: 2
[7,14,0,0,0,0,0]=> size : 627, iter: 2
[7,15,0,0,0,0,0]=> size : 539, iter: 2
[7,16,0,0,0,0,0]=> size : 465, iter: 3
[7,17,0,0,0,0,0]=> size : 393, iter: 2
[7,14,0,0,1,0,0]=> size : 234, iter: 2
[7,13,0,0,1,0,0]=> size : 318, iter: 5
[7,12,0,0,1,0,0]=> size : 385, iter: 3
[7,11,0,0,1,0,0]=> size : 459, iter: 2
[7,11,0,0,2,0,0]=> size : 62, iter: 2
[7,10,0,1,0,0,0]=> size : 159, iter: 2
[7,10,0,0,1,0,0]=> size : 479, iter: 2
[7,10,0,0,2,0,0]=> size : 105, iter: 2
[7,9,0,1,0,0,0]=> size : 170, iter: 2
[7,9,0,0,1,0,0]=> size : 535, iter: 2
[7,9,0,0,2,0,0]=> size : 196, iter: 2
[7,8,0,1,0,0,0]=> size : 229, iter: 2
[7,8,0,0,1,0,0]=> size : 570, iter: 2
[7,8,0,0,2,0,0]=> size : 202, iter: 2
