original_vtx,now_vtx
1,0
2,1
4611,2
6153,3
2818,4
18,5
3992,6
282,7
27,8
1057,9
292,10
6823,11
5291,12
349,13
4789,14
9405,15
1982,16
832,17
4419,18
79,19
209,20
3933,21
3685,22
869,23
1771,24
6893,25
4463,26
6258,27
638,28
4864,29
8643,30
4982,31
6792,32
6793,33
7922,34
860,35
15471,36
6728,37
50,38
7080,39
694,40
1884,41
3,42
496,43
4,44
1164,45
4335,46
272,47
1138,48
51,49
4536,50
3477,51
407,52
666,53
4637,54
3876,55
808,56
4138,57
300,58
14253,59
49,60
948,61
3645,62
1471,63
630,64
5070,65
1873,66
4824,67
988,68
355,69
4326,70
6377,71
9966,72
7410,73
2550,74
6906,75
4735,76
5,77
737,78
6,79
3975,80
692,81
1749,82
409,83
868,84
137,85
5258,86
7117,87
2853,88
5238,89
5658,90
5436,91
415,92
7,93
3872,94
389,95
391,96
8,97
108,98
24,99
6680,100
5241,101
90,102
5307,103
6591,104
512,105
385,106
3717,107
987,108
8456,109
7916,110
138,111
9303,112
2572,113
6157,114
429,115
1809,116
15251,117
3604,118
1045,119
3479,120
284,121
4125,122
3998,123
159,124
2208,125
2593,126
2850,127
3875,128
164,129
2854,130
807,131
16334,132
2716,133
172,134
301,135
435,136
565,137
695,138
184,139
569,140
4410,141
4156,142
10,143
446,144
2485,145
2880,146
6849,147
2806,148
3016,149
55,150
3276,151
674,152
78,153
1613,154
56,155
851,156
7509,157
3798,158
4439,159
88,160
602,161
3855,162
5212,163
5854,164
1376,165
9977,166
4126,167
870,168
871,169
104,170
4203,171
750,172
9967,173
232,174
3838,175
2038,176
120,177
1453,178
3834,179
2428,180
1918,181
149,182
9,183
1409,184
2179,185
2325,186
5656,187
4889,188
431,189
6300,190
4640,191
3873,192
2631,193
3245,194
5551,195
4152,196
1977,197
9274,198
60,199
394,200
62,201
1087,202
65,203
69,204
70,205
71,206
5580,207
14670,208
5455,209
5462,210
8791,211
476,212
477,213
3806,214
3552,215
6779,216
17638,217
614,218
8210,219
61,220
3443,221
2036,222
3191,223
63,224
124,225
3840,226
14,227
538,228
4648,229
1588,230
5690,231
6724,232
15429,233
13385,234
76,235
354,236
440,237
1139,238
8822,239
9854,240
132,241
4122,242
3237,243
5290,244
685,245
5809,246
4277,247
185,248
7866,249
4812,250
3287,251
3802,252
8924,253
734,254
5354,255
3323,256
765,257
256,258
262,259
8460,260
4879,261
2833,262
793,263
283,264
6434,265
804,266
3878,267
7987,268
3893,269
3899,270
5961,271
6996,272
853,273
10071,274
15708,275
7520,276
6498,277
1390,278
5494,279
8569,280
1916,281
4992,282
7045,283
7567,284
5486,285
4024,286
3514,287
12222,288
9673,289
3023,290
4049,291
3029,292
471,293
2525,294
12776,295
11254,296
11,297
12,298
2061,299
15,300
537,301
7327,302
6075,303
559,304
827,305
4414,306
706,307
4931,308
2756,309
3273,310
6234,311
604,312
6239,313
6240,314
5475,315
17778,316
375,317
1018,318
14853,319
13,320
4494,321
660,322
6422,323
10009,324
15148,325
1069,326
58,327
6587,328
7872,329
6595,330
4684,331
1103,332
2000,333
83,334
14862,335
606,336
365,337
366,338
3448,339
1022,340
3141,341
6053,342
6144,343
825,344
17716,345
2744,346
1689,347
1656,348
6235,349
16,350
13056,351
770,352
1027,353
644,354
4613,355
1158,356
8385,357
8364,358
906,359
